Season,Week,Contestant,Judge_Score_Z,Trend,Vote_Mean,Vote_Std,Vote_CI_Lower,Vote_CI_Upper
1,1,Evander Holyfield,-0.06140634384863509,0.0,0.9673918715012225,0.28577647751494484,0.5289547325676557,1.5284752119485872
1,1,Joey McIntyre,0.6754697823349771,0.0,2.0052493200559236,0.5979156486970307,1.1019282120045968,3.2923953585825645
1,1,John O'Hurley,0.6754697823349771,0.0,2.066982318582125,0.6899373494318597,1.080262595681622,3.7447464839024818
1,1,Kelly Monaco,-1.9035966593076652,0.0,0.16144644290724705,0.05349482693604074,0.09263462706661044,0.2765634944880271
1,1,Rachel Hunter,0.6754697823349771,0.0,1.9552879467383852,0.6352517190286847,1.0042754193554746,3.271973620307327
1,1,Trista Sutter,-0.06140634384863509,0.0,0.9498841370357214,0.237519638217859,0.5690971928559252,1.4500008685250296
1,2,Evander Holyfield,-1.3870232926631432,,,,,
1,2,Joey McIntyre,0.1874355800896139,,,,,
1,2,John O'Hurley,1.3120490606272974,,,,,
1,2,Kelly Monaco,-0.7122552043405329,,,,,
1,2,Rachel Hunter,0.8622036684122242,,,,,
1,2,Trista Sutter,-0.26240981212545983,,,,,
1,3,Trista Sutter,-1.8157500810429588,,,,,
1,3,Kelly Monaco,0.342594354913766,,,,,
1,3,Rachel Hunter,0.8564858872844145,,,,,
1,3,Joey McIntyre,0.44537266138789566,,,,,
1,3,John O'Hurley,0.6509292743361552,,,,,
1,3,Evander Holyfield,-0.4796320968792721,,,,,
1,4,Rachel Hunter,0.7992894139826767,,,,,
1,4,Kelly Monaco,0.8819745257739877,,,,,
1,4,Trista Sutter,-1.267838380800108,,,,,
1,4,Joey McIntyre,0.3858638550261197,,,,,
1,4,Evander Holyfield,-1.267838380800108,,,,,
1,4,John O'Hurley,0.468548966817431,,,,,
1,5,Evander Holyfield,-0.907185847877695,,,,,
1,5,Joey McIntyre,0.7704866105262616,,,,,
1,5,John O'Hurley,1.106021102207053,,,,,
1,5,Kelly Monaco,0.8450498308997707,,,,,
1,5,Rachel Hunter,-0.907185847877695,,,,,
1,5,Trista Sutter,-0.907185847877695,,,,,
1,6,Rachel Hunter,-0.6454564805683922,,,,,
1,6,Trista Sutter,-0.6454564805683922,,,,,
1,6,Kelly Monaco,1.308677818400135,,,,,
1,6,John O'Hurley,1.2731481038734347,,,,,
1,6,Joey McIntyre,-0.6454564805683922,,,,,
1,6,Evander Holyfield,-0.6454564805683922,,,,,
1,7,Evander Holyfield,0.0,,,,,
1,7,Joey McIntyre,0.0,,,,,
1,7,John O'Hurley,0.0,,,,,
1,7,Kelly Monaco,0.0,,,,,
1,7,Rachel Hunter,0.0,,,,,
1,7,Trista Sutter,0.0,,,,,
1,8,Trista Sutter,0.0,,,,,
1,8,Rachel Hunter,0.0,,,,,
1,8,Kelly Monaco,0.0,,,,,
1,8,Evander Holyfield,0.0,,,,,
1,8,Joey McIntyre,0.0,,,,,
1,8,John O'Hurley,0.0,,,,,
1,9,Rachel Hunter,0.0,,,,,
1,9,Trista Sutter,0.0,,,,,
1,9,Kelly Monaco,0.0,,,,,
1,9,Joey McIntyre,0.0,,,,,
1,9,Evander Holyfield,0.0,,,,,
1,9,John O'Hurley,0.0,,,,,
1,10,Evander Holyfield,0.0,,,,,
1,10,Joey McIntyre,0.0,,,,,
1,10,John O'Hurley,0.0,,,,,
1,10,Kelly Monaco,0.0,,,,,
1,10,Rachel Hunter,0.0,,,,,
1,10,Trista Sutter,0.0,,,,,
1,11,Rachel Hunter,0.0,,,,,
1,11,Evander Holyfield,0.0,,,,,
1,11,Joey McIntyre,0.0,,,,,
1,11,John O'Hurley,0.0,,,,,
1,11,Kelly Monaco,0.0,,,,,
1,11,Trista Sutter,0.0,,,,,
2,1,Drew Lachey,1.086099282057325,0.0,3.048319934340539,0.9977687462697957,1.439408063939972,5.198434330873803
2,1,George Hamilton,-0.3620330940191083,0.0,0.7516329120110672,0.21190973645045702,0.37858219954665073,1.1791653350540208
2,1,Giselle Fernandez,0.8447438860445863,0.0,2.2940631601660955,0.7138911963022113,1.3003930367979888,3.9863613761224967
2,1,Jerry Rice,0.3620330940191083,0.0,1.5707740474149494,0.5218631802949507,0.8522331344212322,2.741019944237162
2,1,Kenny Mayne,-1.568810074082803,0.0,0.2300497304768487,0.07264957818635648,0.1077537359731753,0.3961510160729167
2,1,Lisa Rinna,-0.12067769800636965,0.0,0.9127639639793597,0.25013896790812273,0.47760930680637703,1.3977286020543231
2,1,Master P,-1.8101654700955416,0.0,0.1814430817253993,0.06063168059357202,0.08793715568910201,0.31798391724324077
2,1,Stacy Keibler,0.603388490031847,0.0,1.8550603151272735,0.49484858069297977,1.0584934964103454,2.6935869777865697
2,1,Tatum O'Neal,0.8447438860445863,0.0,2.2572540569593698,0.6801264672245867,1.2375491239772383,3.925859040663289
2,1,Tia Carrere,0.12067769800636965,0.0,1.1358280035739645,0.3561006272786942,0.6718007252069667,1.881511430439832
2,2,Tia Carrere,0.24743582965269653,,,,,
2,2,Tatum O'Neal,-0.37115374447904514,,,,,
2,2,Stacy Keibler,1.113461233437135,,,,,
2,2,Master P,-0.49487165930539373,,,,,
2,2,Lisa Rinna,0.0,,,,,
2,2,George Hamilton,0.24743582965269653,,,,,
2,2,Jerry Rice,0.37115374447904514,,,,,
2,2,Giselle Fernandez,0.4948716593053934,,,,,
2,2,Drew Lachey,0.8660254037844385,,,,,
2,2,Kenny Mayne,-2.4743582965269675,,,,,
2,3,Master P,-0.4042283715536008,,,,,
2,3,Tia Carrere,0.7507098328852588,,,,,
2,3,Tatum O'Neal,-1.7516562767322708,,,,,
2,3,Lisa Rinna,0.6544649825153541,,,,,
2,3,Stacy Keibler,0.846954683255164,,,,,
2,3,Jerry Rice,0.07699588029592397,,,,,
2,3,Giselle Fernandez,0.36573043140563893,,,,,
2,3,Kenny Mayne,-1.7516562767322708,,,,,
2,3,George Hamilton,0.36573043140563893,,,,,
2,3,Drew Lachey,0.846954683255164,,,,,
2,4,Tatum O'Neal,-1.2921720783791484,,,,,
2,4,Stacy Keibler,0.8341870379409687,,,,,
2,4,Master P,-0.6379077348960354,,,,,
2,4,Lisa Rinna,0.8341870379409687,,,,,
2,4,Tia Carrere,0.7524039950055799,,,,,
2,4,Jerry Rice,0.6706209520701906,,,,,
2,4,Giselle Fernandez,-1.2921720783791484,,,,,
2,4,George Hamilton,0.42527182326402324,,,,,
2,4,Drew Lachey,0.9977531238117473,,,,,
2,4,Kenny Mayne,-1.2921720783791484,,,,,
2,5,Tia Carrere,0.5236061632238237,,,,,
2,5,Tatum O'Neal,-1.1458627629970635,,,,,
2,5,Stacy Keibler,1.1306857727586919,,,,,
2,5,Master P,-1.1458627629970635,,,,,
2,5,Lisa Rinna,0.7512610167993994,,,,,
2,5,Kenny Mayne,-1.1458627629970635,,,,,
2,5,Giselle Fernandez,-1.1458627629970635,,,,,
2,5,George Hamilton,0.6753760656075407,,,,,
2,5,Drew Lachey,0.9030309191831163,,,,,
2,5,Jerry Rice,0.5994911144156823,,,,,
2,6,Master P,-0.9357589988991188,,,,,
2,6,Tia Carrere,-0.9357589988991188,,,,,
2,6,Tatum O'Neal,-0.9357589988991188,,,,,
2,6,Stacy Keibler,1.174975585083856,,,,,
2,6,Lisa Rinna,0.9639021266855584,,,,,
2,6,Kenny Mayne,-0.9357589988991188,,,,,
2,6,Jerry Rice,0.6824708488211618,,,,,
2,6,Giselle Fernandez,-0.9357589988991188,,,,,
2,6,George Hamilton,0.6824708488211618,,,,,
2,6,Drew Lachey,1.174975585083856,,,,,
2,7,Tia Carrere,-0.7662942144031356,,,,,
2,7,Tatum O'Neal,-0.7662942144031356,,,,,
2,7,Stacy Keibler,1.2996950891347299,,,,,
2,7,Master P,-0.7662942144031356,,,,,
2,7,Lisa Rinna,1.2245682053697169,,,,,
2,7,Jerry Rice,0.7738069027796369,,,,,
2,7,Giselle Fernandez,-0.7662942144031356,,,,,
2,7,George Hamilton,-0.7662942144031356,,,,,
2,7,Drew Lachey,1.2996950891347299,,,,,
2,7,Kenny Mayne,-0.7662942144031356,,,,,
2,8,Master P,-0.6204638969558225,,,,,
2,8,Tia Carrere,-0.6204638969558225,,,,,
2,8,Tatum O'Neal,-0.6204638969558225,,,,,
2,8,Stacy Keibler,1.488621442464983,,,,,
2,8,Lisa Rinna,-0.6204638969558225,,,,,
2,8,Drew Lachey,1.5131433807423784,,,,,
2,8,Jerry Rice,1.3414824554833957,,,,,
2,8,Giselle Fernandez,-0.6204638969558225,,,,,
2,8,George Hamilton,-0.6204638969558225,,,,,
2,8,Kenny Mayne,-0.6204638969558225,,,,,
2,9,Master P,0.0,,,,,
2,9,Tia Carrere,0.0,,,,,
2,9,Tatum O'Neal,0.0,,,,,
2,9,Stacy Keibler,0.0,,,,,
2,9,Lisa Rinna,0.0,,,,,
2,9,Giselle Fernandez,0.0,,,,,
2,9,Jerry Rice,0.0,,,,,
2,9,George Hamilton,0.0,,,,,
2,9,Drew Lachey,0.0,,,,,
2,9,Kenny Mayne,0.0,,,,,
2,10,Tia Carrere,0.0,,,,,
2,10,Tatum O'Neal,0.0,,,,,
2,10,Master P,0.0,,,,,
2,10,Lisa Rinna,0.0,,,,,
2,10,Stacy Keibler,0.0,,,,,
2,10,Jerry Rice,0.0,,,,,
2,10,Giselle Fernandez,0.0,,,,,
2,10,George Hamilton,0.0,,,,,
2,10,Drew Lachey,0.0,,,,,
2,10,Kenny Mayne,0.0,,,,,
2,11,Tatum O'Neal,0.0,,,,,
2,11,Drew Lachey,0.0,,,,,
2,11,George Hamilton,0.0,,,,,
2,11,Giselle Fernandez,0.0,,,,,
2,11,Jerry Rice,0.0,,,,,
2,11,Kenny Mayne,0.0,,,,,
2,11,Lisa Rinna,0.0,,,,,
2,11,Master P,0.0,,,,,
2,11,Stacy Keibler,0.0,,,,,
2,11,Tia Carrere,0.0,,,,,
3,1,Emmitt Smith,1.1326852593525711,0.0,3.186595079278378,0.986205407559842,1.7986952800695668,5.41529558649386
3,1,Harry Hamlin,-0.5445602208425826,0.0,0.6171133848636999,0.19218057851721562,0.30424957774789113,1.017661291064559
3,1,Jerry Springer,-0.7841667180133193,0.0,0.49574239198843045,0.15149170112262564,0.2869000458374143,0.839415471556848
3,1,Joey Lawrence,0.4138657678403623,0.0,1.6502890616116956,0.4917943477395801,0.934954161285756,2.684501885785393
3,1,Mario Lopez,1.6118982536940434,0.0,5.021507762591527,1.496282631742547,2.409003116270046,8.005029939283219
3,1,Monique Coleman,-0.06534722650111048,0.0,0.9876298002599119,0.2920037036575489,0.5822720986269058,1.6739092694141335
3,1,Sara Evans,-1.0237732151840553,0.0,0.38783492804820396,0.1272894120544931,0.18550233646435738,0.6808581711047828
